word,translation,freq,category,example,diff
30-second chair stand,30秒椅子起立测试,1,assessment,30-Second Chair Stand test (188),hard
aacpdm,美国脑瘫与发育医学学会,2,musculoskeletal,A systematic review of the effectiveness of aerobic exercise interventions for c,hard
able-bodied,健全的,5,physiology,Other authors have advocated for volumes of moderate-to- vigorous intensity exer,hard
above-mentioned,上述的,1,physiology,government employees are not covered by the above-mentioned copyright.,hard
absolute contraindication,绝对禁忌证,5,prescription,Box 4.1 provides a list of conditions that preclude exercise testing (absolute c,hard
absorptiometry,吸收测量法,11,musculoskeletal,Body fat percentage determined from skinfold thickness measurements correlates w,hard
absorptiometry-based,absorptiometry基础的,1,musculoskeletal,Dual-energy X-ray absorptiometry-based body volume measurement for 4-compartment,hard
acc,美国心脏病学会,41,physiology,2013 AHA/ACC/TOS guideline for the management of overweight and obesity in adult,easy
accelerometer,加速度计,2,musculoskeletal,"Accelerometer-measured dose-response for physical activity, sedentary time, and ",hard
accelerometer-derived,加速度计衍生的,1,musculoskeletal,Accelerometer-derived physical activity and sedentary time by cancer type in the,hard
accelerometer-measured,加速度计测量的,1,musculoskeletal,"Accelerometer-measured dose-response for physical activity, sedentary time, and ",hard
accelerometers,加速度计,2,musculoskeletal,"Related strategies or interventions may include recommending community, home, or",hard
accelerometry,加速度测量法,1,musculoskeletal,Accelerometry-assessed latent class patterns of physical activity and sedentary ,hard
accelerometry-assessed,加速度测量评估的,1,musculoskeletal,Accelerometry-assessed latent class patterns of physical activity and sedentary ,hard
accp,美国胸科医师学会,3,musculoskeletal,ATS/ACCP statement on cardiopulmonary exercise testing.,hard
acetazolamide,乙酰唑胺,5,cardiovascular,"The most common medication used is acetazolamide (i.e., Diamox) and is used as p",hard
acp,急性胸痛,1,musculoskeletal,"11. Fihn SD, Gardin JM, Abrams J, et al. 2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS gu",hard
acpm,美国预防医学学会,3,musculoskeletal,2018 AHA/ACC/AACVPR/AAPA/ABC/ACPM/ADA/AGS/APhA/ASPC/NLA/PCNA Guideline on the Ma,hard
acquisition,acquisi过程,1,fitness,"intellectual functioning (knowledge acquisition, problem solving, logic",hard
